rank,filename,size_group,mask_area_fraction_original,Dice,IoU,Precision,Recall,F2,pred_area,gt_area,area_ratio,image_path,mask_path,visual_path
1,cju1cyjb5qtie0993njqne9m3.jpg,large,0.507233738899231,2.905794153541319e-13,2.905794153541319e-13,8.628127696215461e-12,3.0070666065244306e-13,0.9965307558106834,0.0176849365234375,0.5074310302734375,0.03485190128279831,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1cyjb5qtie0993njqne9m3.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1cyjb5qtie0993njqne9m3.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\01_cju1cyjb5qtie0993njqne9m3.png
2,cju1dg44i4z3w0801nyz4p6zf.jpg,small,0.008840410970151424,1.295001294999618e-12,1.295001294999618e-12,1.3980148189551266e-12,1.757469244257338e-11,0.9976886794072043,0.1091461181640625,0.0086822509765625,12.571163025241827,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\02_cju1dg44i4z3w0801nyz4p6zf.png
3,cju2zy1e49pqk0878t6ncqn12.jpg,small,0.0324825718998909,4.6750818139098875e-12,4.6750818139098875e-12,4.761904759637188e-10,4.721435316313875e-12,0.8396669876618819,0.0003204345703125,0.032318115234375,0.009915011096363705,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2zy1e49pqk0878t6ncqn12.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2zy1e49pqk0878t6ncqn12.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\03_cju2zy1e49pqk0878t6ncqn12.png
4,cju2lyynuymli0855g7fxgbhe.jpg,small,0.0454367995262146,0.031199914521817286,0.01584717247474672,0.022866092405602403,0.04909213181220884,0.03993223831996382,0.0974273681640625,0.045379638671875,2.1469396748425065,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2lyynuymli0855g7fxgbhe.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2lyynuymli0855g7fxgbhe.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\04_cju2lyynuymli0855g7fxgbhe.png
5,cju2rmd2rsw9g09888hh1efu0.jpg,small,0.006911817938089371,0.0348065213124986,0.017711498481121978,0.01771787385553025,0.9800884955756618,0.082615353178901,0.3815155029296875,0.00689697265625,55.31629147768854,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2rmd2rsw9g09888hh1efu0.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2rmd2rsw9g09888hh1efu0.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\05_cju2rmd2rsw9g09888hh1efu0.png
6,cju76o55nymqd0871h31sph9w.jpg,small,0.006505986209958792,0.04348050606814176,0.02222339527078641,0.022226915158110854,0.9929245283020537,0.10200126817594041,0.2890167236328125,0.0064697265625,44.67210076342463,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\06_cju76o55nymqd0871h31sph9w.png
7,cju0tl3uz8blh0993wxvn7ly3.jpg,small,0.005272947251796722,0.056162498989191414,0.028892589509551297,0.028894995420910237,0.9971264367816918,0.12946795797977717,0.1832427978515625,0.00531005859375,34.50855570250843,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju0tl3uz8blh0993wxvn7ly3.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju0tl3uz8blh0993wxvn7ly3.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\07_cju0tl3uz8blh0993wxvn7ly3.png
8,cju1f79yhsb5w0993txub59ol.jpg,small,0.010734349489212036,0.06628669955502356,0.034279486798913024,0.034301576286787795,0.9815602836882048,0.15047404430049022,0.307830810546875,0.0107574462890625,28.61557623616448,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1f79yhsb5w0993txub59ol.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1f79yhsb5w0993txub59ol.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\08_cju1f79yhsb5w0993txub59ol.png
9,cju1drnhbrb9409935wi7vkhg.jpg,large,0.36528822779655457,0.12451665820445865,0.06639176975339814,0.9643073200244143,0.06655532359120393,0.0817830156906272,0.0252227783203125,0.365447998046875,0.06901878725544248,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\09_cju1drnhbrb9409935wi7vkhg.png
10,cju5fi0yxd3ei0801v7u0yudn.jpg,small,0.02073172852396965,0.13372868791740364,0.07165554496394891,0.07166313559371204,0.9985239852398633,0.27839506734471114,0.2880859375,0.0206756591796875,13.933572596674436,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_seqval_constrained\kvasir_visuals\10_cju5fi0yxd3ei0801v7u0yudn.png
