rank,filename,size_group,mask_area_fraction_original,Dice,IoU,Precision,Recall,F2,pred_area,gt_area,area_ratio,image_path,mask_path,visual_path
1,cju2uwz9f5yf1085506cfamfx.jpg,large,0.26253750920295715,5.125051250509878e-13,5.125051250509878e-13,4.321521175435084e-12,5.814629608090584e-13,0.9982164320323137,0.035308837890625,0.262420654296875,0.13455052400401027,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2uwz9f5yf1085506cfamfx.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2uwz9f5yf1085506cfamfx.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\01_cju2uwz9f5yf1085506cfamfx.png
2,cju1dg44i4z3w0801nyz4p6zf.jpg,small,0.008840410970151424,2.611647949849539e-12,2.611647949849539e-12,3.067484662567278e-12,1.757469244257338e-11,0.9970244174072196,0.04974365234375,0.0086822509765625,5.729343137465169,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\02_cju1dg44i4z3w0801nyz4p6zf.png
3,cju8at3s1qqqx0850hcq8nmnq.jpg,small,0.026576600968837738,5.74712643674858e-12,5.74712643674858e-12,1.0,5.74712643674858e-12,2.5071839017743736e-09,0.0,0.02655029296875,0.0,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\03_cju8at3s1qqqx0850hcq8nmnq.png
4,cju5u8gz4kj5b07552e2wpkwp.jpg,large,0.2610017657279968,0.002334403268746814,0.0011685655863270998,0.5714285715510204,0.0011695906438589651,0.0014612449603660308,0.0005340576171875,0.26092529296875,0.0020467835472877155,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5u8gz4kj5b07552e2wpkwp.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5u8gz4kj5b07552e2wpkwp.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\04_cju5u8gz4kj5b07552e2wpkwp.png
5,cju5x00l6m5j608503k78ptee.jpg,large,0.39051270484924316,0.002496489312294236,0.0012498047184028864,1.0,0.0012498047184028864,0.0015617704170900967,0.00048828125,0.39068603515625,0.001249804686022809,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\05_cju5x00l6m5j608503k78ptee.png
6,cju2ro5jqsy680988pi6qsujw.jpg,large,0.2165270894765854,0.05531215772244297,0.028442692200064457,1.0,0.028442692200064457,0.03530234423407706,0.00616455078125,0.21673583984375,0.02844269088705985,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2ro5jqsy680988pi6qsujw.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2ro5jqsy680988pi6qsujw.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\06_cju2ro5jqsy680988pi6qsujw.png
7,cju5knbbqfipk080128cggukq.jpg,large,0.40762728452682495,0.08758183964828178,0.04579638567776188,1.0,0.04579638567776188,0.056597494286523484,0.0186767578125,0.4078216552734375,0.045796384554453604,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5knbbqfipk080128cggukq.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5knbbqfipk080128cggukq.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\07_cju5knbbqfipk080128cggukq.png
8,cju8cattbsivm0818p446wgel.jpg,large,0.39281153678894043,0.10392192966337546,0.054808887508135944,1.0,0.054808887508135944,0.06758504641466394,0.0215301513671875,0.392822265625,0.05480888611250965,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju8cattbsivm0818p446wgel.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju8cattbsivm0818p446wgel.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\08_cju8cattbsivm0818p446wgel.png
9,cju2zy1e49pqk0878t6ncqn12.jpg,small,0.0324825718998909,0.11314031180795929,0.05996222852190764,1.0,0.05996222852190764,0.07384579830936781,0.0019378662109375,0.032318115234375,0.05996220996372336,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2zy1e49pqk0878t6ncqn12.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2zy1e49pqk0878t6ncqn12.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\09_cju2zy1e49pqk0878t6ncqn12.png
10,cju1drnhbrb9409935wi7vkhg.jpg,large,0.36528822779655457,0.12050648790657395,0.0641164692144735,0.9858883899936761,0.06417536534485838,0.07893466678785432,0.0237884521484375,0.365447998046875,0.06509394393904104,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed0_valdice\kvasir_visuals\10_cju1drnhbrb9409935wi7vkhg.png
