image,mask,center,split,test_group
data_C1/images_C1/100H0050.jpg,data_C1/masks_C1/100H0050_mask.jpg,C1,train,
data_C1/images_C1/100S0001.jpg,data_C1/masks_C1/100S0001_mask.jpg,C1,val,
data_C1/images_C1/100S0003.jpg,data_C1/masks_C1/100S0003_mask.jpg,C1,train,
data_C1/images_C1/102OLCV1_100H0006.jpg,data_C1/masks_C1/102OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/104OLCV1_100H0002.jpg,data_C1/masks_C1/104OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/106OLCV1_100H0012.jpg,data_C1/masks_C1/106OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/106OLCV1_100H0014.jpg,data_C1/masks_C1/106OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/117OLCV1_100H0010.jpg,data_C1/masks_C1/117OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/123OLCV1_100H0004.jpg,data_C1/masks_C1/123OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/124OLCV1_100H0004.jpg,data_C1/masks_C1/124OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/125OLCV1_100H0003.jpg,data_C1/masks_C1/125OLCV1_100H0003_mask.jpg,C1,train,
data_C1/images_C1/127OLCV1_100H0001.jpg,data_C1/masks_C1/127OLCV1_100H0001_mask.jpg,C1,train,
data_C1/images_C1/130OLCV1_100H0002.jpg,data_C1/masks_C1/130OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/133OLCV1_100H0006.jpg,data_C1/masks_C1/133OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/133OLCV1_100H0013.jpg,data_C1/masks_C1/133OLCV1_100H0013_mask.jpg,C1,train,
data_C1/images_C1/134OLCV1_100H0010.jpg,data_C1/masks_C1/134OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/136OLCV1_100S0005.jpg,data_C1/masks_C1/136OLCV1_100S0005_mask.jpg,C1,train,
data_C1/images_C1/143OLCV1_100H0018.jpg,data_C1/masks_C1/143OLCV1_100H0018_mask.jpg,C1,train,
data_C1/images_C1/144OLCV1_100H0022.jpg,data_C1/masks_C1/144OLCV1_100H0022_mask.jpg,C1,train,
data_C1/images_C1/144OLCV1_100H0024.jpg,data_C1/masks_C1/144OLCV1_100H0024_mask.jpg,C1,train,
data_C1/images_C1/148OLCV1_100H0004.jpg,data_C1/masks_C1/148OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/150OLCV1_100H0016.jpg,data_C1/masks_C1/150OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/153OLCV1_100H0010.jpg,data_C1/masks_C1/153OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/155OLCV1_100H0010.jpg,data_C1/masks_C1/155OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/155OLCV1_100H0032.jpg,data_C1/masks_C1/155OLCV1_100H0032_mask.jpg,C1,train,
data_C1/images_C1/156OLCV1_100H0002.jpg,data_C1/masks_C1/156OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/161OLCV1_100S0021.jpg,data_C1/masks_C1/161OLCV1_100S0021_mask.jpg,C1,train,
data_C1/images_C1/163OLCV1_100H0001.jpg,data_C1/masks_C1/163OLCV1_100H0001_mask.jpg,C1,train,
data_C1/images_C1/169OLCV1_100H0007.jpg,data_C1/masks_C1/169OLCV1_100H0007_mask.jpg,C1,train,
data_C1/images_C1/171OLCV1_100H0002.jpg,data_C1/masks_C1/171OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/171OLCV1_100H0003.jpg,data_C1/masks_C1/171OLCV1_100H0003_mask.jpg,C1,train,
data_C1/images_C1/171OLCV1_100H0004.jpg,data_C1/masks_C1/171OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/174OLCV1_100H0002.jpg,data_C1/masks_C1/174OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/175OLCV1_100H0011.jpg,data_C1/masks_C1/175OLCV1_100H0011_mask.jpg,C1,train,
